N, J, Start, End
32, 4, 1669330027.N, 1669330027.N
32, 5, 1669330027.N, 1669330027.N
33, 1, 1669330027.N, 1669330027.N
33, 2, 1669330027.N, 1669330027.N
33, 3, 1669330027.N, 1669330027.N
33, 4, 1669330027.N, 1669330027.N
33, 5, 1669330027.N, 1669330027.N
34, 1, 1669330027.N, 1669330027.N
34, 2, 1669330027.N, 1669330027.N
34, 3, 1669330027.N, 1669330027.N
34, 4, 1669330027.N, 1669330027.N
34, 5, 1669330027.N, 1669330027.N
35, 1, 1669330027.N, 1669330027.N
35, 2, 1669330027.N, 1669330027.N
35, 3, 1669330027.N, 1669330027.N
35, 4, 1669330027.N, 1669330027.N
35, 5, 1669330027.N, 1669330027.N
36, 1, 1669330027.N, 1669330027.N
36, 2, 1669330027.N, 1669330027.N
36, 3, 1669330027.N, 1669330027.N
36, 4, 1669330027.N, 1669330027.N
36, 5, 1669330027.N, 1669330027.N
37, 1, 1669330027.N, 1669330027.N
37, 2, 1669330027.N, 1669330027.N
37, 3, 1669330027.N, 1669330027.N
37, 4, 1669330027.N, 1669330027.N
37, 5, 1669330027.N, 1669330027.N
38, 1, 1669330027.N, 1669330027.N
38, 2, 1669330027.N, 1669330027.N
38, 3, 1669330027.N, 1669330027.N
38, 4, 1669330027.N, 1669330027.N
38, 5, 1669330027.N, 1669330027.N
39, 1, 1669330027.N, 1669330027.N
39, 2, 1669330027.N, 1669330027.N
39, 3, 1669330027.N, 1669330027.N
39, 4, 1669330027.N, 1669330027.N
39, 5, 1669330027.N, 1669330027.N
40, 1, 1669330027.N, 1669330027.N
40, 2, 1669330027.N, 1669330027.N
40, 3, 1669330027.N, 1669330027.N
40, 4, 1669330027.N, 1669330027.N
40, 5, 1669330027.N, 1669330027.N
41, 1, 1669330027.N, 1669330027.N
41, 2, 1669330027.N, 1669330027.N
41, 3, 1669330027.N, 1669330027.N
41, 4, 1669330027.N, 1669330027.N
41, 5, 1669330027.N, 1669330027.N
42, 1, 1669330027.N, 1669330027.N
42, 2, 1669330027.N, 1669330027.N
42, 3, 1669330027.N, 1669330027.N
42, 4, 1669330027.N, 1669330027.N
42, 5, 1669330027.N, 1669330027.N
43, 1, 1669330027.N, 1669330027.N
43, 2, 1669330027.N, 1669330027.N
43, 3, 1669330027.N, 1669330027.N
43, 4, 1669330027.N, 1669330027.N
43, 5, 1669330027.N, 1669330027.N
44, 1, 1669330027.N, 1669330027.N
44, 2, 1669330027.N, 1669330027.N
44, 3, 1669330027.N, 1669330027.N
44, 4, 1669330027.N, 1669330027.N
44, 5, 1669330027.N, 1669330027.N
45, 1, 1669330027.N, 1669330027.N
45, 2, 1669330027.N, 1669330027.N
45, 3, 1669330027.N, 1669330027.N
45, 4, 1669330027.N, 1669330027.N
45, 5, 1669330027.N, 1669330027.N
46, 1, 1669330027.N, 1669330027.N
46, 2, 1669330027.N, 1669330027.N
46, 3, 1669330027.N, 1669330027.N
46, 4, 1669330027.N, 1669330027.N
46, 5, 1669330027.N, 1669330027.N
47, 1, 1669330027.N, 1669330027.N
47, 2, 1669330027.N, 1669330027.N
47, 3, 1669330027.N, 1669330027.N
47, 4, 1669330027.N, 1669330027.N
47, 5, 1669330027.N, 1669330027.N
48, 1, 1669330027.N, 1669330027.N
48, 2, 1669330027.N, 1669330027.N
48, 3, 1669330027.N, 1669330027.N
48, 4, 1669330027.N, 1669330027.N
48, 5, 1669330027.N, 1669330027.N
49, 1, 1669330027.N, 1669330027.N
49, 2, 1669330027.N, 1669330027.N
49, 3, 1669330027.N, 1669330027.N
49, 4, 1669330027.N, 1669330027.N
49, 5, 1669330027.N, 1669330027.N
50, 1, 1669330027.N, 1669330027.N
50, 2, 1669330027.N, 1669330027.N
50, 3, 1669330027.N, 1669330027.N
50, 4, 1669330027.N, 1669330027.N
50, 5, 1669330027.N, 1669330027.N
51, 1, 1669330027.N, 1669330027.N
51, 2, 1669330027.N, 1669330027.N
51, 3, 1669330027.N, 1669330027.N
51, 4, 1669330027.N, 1669330027.N
51, 5, 1669330027.N, 1669330027.N
52, 1, 1669330027.N, 1669330027.N
52, 2, 1669330027.N, 1669330027.N
52, 3, 1669330027.N, 1669330027.N
52, 4, 1669330027.N, 1669330027.N
52, 5, 1669330027.N, 1669330027.N
53, 1, 1669330027.N, 1669330027.N
53, 2, 1669330027.N, 1669330027.N
53, 3, 1669330027.N, 1669330027.N
53, 4, 1669330027.N, 1669330027.N
53, 5, 1669330027.N, 1669330027.N
54, 1, 1669330027.N, 1669330027.N
54, 2, 1669330027.N, 1669330027.N
54, 3, 1669330027.N, 1669330027.N
54, 4, 1669330027.N, 1669330027.N
54, 5, 1669330027.N, 1669330027.N
55, 1, 1669330027.N, 1669330027.N
55, 2, 1669330027.N, 1669330027.N
55, 3, 1669330027.N, 1669330028.N
55, 4, 1669330028.N, 1669330028.N
55, 5, 1669330028.N, 1669330028.N
56, 1, 1669330028.N, 1669330028.N
56, 2, 1669330028.N, 1669330028.N
56, 3, 1669330028.N, 1669330028.N
56, 4, 1669330028.N, 1669330028.N
56, 5, 1669330028.N, 1669330028.N
57, 1, 1669330028.N, 1669330028.N
57, 2, 1669330028.N, 1669330028.N
57, 3, 1669330028.N, 1669330028.N
57, 4, 1669330028.N, 1669330028.N
57, 5, 1669330028.N, 1669330028.N
58, 1, 1669330028.N, 1669330028.N
58, 2, 1669330028.N, 1669330028.N
58, 3, 1669330028.N, 1669330028.N
58, 4, 1669330028.N, 1669330028.N
58, 5, 1669330028.N, 1669330028.N
59, 1, 1669330028.N, 1669330028.N
59, 2, 1669330028.N, 1669330028.N
59, 3, 1669330028.N, 1669330028.N
59, 4, 1669330028.N, 1669330028.N
59, 5, 1669330028.N, 1669330028.N
60, 1, 1669330028.N, 1669330028.N
60, 2, 1669330028.N, 1669330028.N
60, 3, 1669330028.N, 1669330028.N
60, 4, 1669330028.N, 1669330028.N
60, 5, 1669330028.N, 1669330028.N
61, 1, 1669330028.N, 1669330028.N
61, 2, 1669330028.N, 1669330028.N
61, 3, 1669330028.N, 1669330028.N
61, 4, 1669330028.N, 1669330028.N
61, 5, 1669330028.N, 1669330028.N
62, 1, 1669330028.N, 1669330028.N
62, 2, 1669330028.N, 1669330028.N
62, 3, 1669330028.N, 1669330028.N
62, 4, 1669330028.N, 1669330028.N
62, 5, 1669330028.N, 1669330028.N
63, 1, 1669330028.N, 1669330028.N
63, 2, 1669330028.N, 1669330028.N
63, 3, 1669330028.N, 1669330028.N
63, 4, 1669330028.N, 1669330028.N
63, 5, 1669330028.N, 1669330028.N
64, 1, 1669330028.N, 1669330028.N
64, 2, 1669330028.N, 1669330028.N
64, 3, 1669330028.N, 1669330028.N
64, 4, 1669330028.N, 1669330028.N
64, 5, 1669330028.N, 1669330028.N
